Team Number,Mu,Sigma
2910,26.3806,2.27001
4469,26.4949,2.31208
2976,25.8883,2.86474
5495,23.844,2.60075
4911,25.0524,1.92933
3663,27.4832,1.96057
5748,23.4616,3.2334
5683,23.0063,2.96627
1899,23.3055,2.74751
2557,24.1892,2.33043
5941,23.5032,2.84808
949,22.7693,2.9426
2555,23.3866,3.18047
2522,24.7602,2.8049
4512,23.6207,2.67734
4683,20.1718,2.89914
2412,25.596,2.93361
4089,23.0164,2.61501
6503,19.6955,3.05703
4682,23.7795,2.91225
4180,22.4564,2.93281
4309,25.0355,2.65504
2046,28.5131,1.84549
1595,31.1264,1.97125
3238,29.4228,1.96158
4061,26.3846,2.1016
2907,27.1873,1.87336
488,23.6783,2.15781
2147,24.8374,2.23394
5295,25.9321,2.23782
948,26.33,2.19601
4662,27.9849,2.03546
4513,25.2327,2.17212
4173,25.6209,2.12967
5450,25.9431,2.40644
4495,24.0997,2.24332
5970,26.3057,2.18355
6350,26.4777,2.38761
4450,27.2435,2.16896
4131,23.7505,2.2226
3223,26.3083,2.13791
5468,26.1458,2.14029
2980,22.957,2.32407
4125,27.7307,2.22762
3219,23.8971,2.2441
3693,23.453,2.20459
2374,24.8684,2.18988
3393,24.3243,2.1811
5920,25.4387,2.08807
5975,23.652,2.25032
4918,26.8309,2.11905
5829,27.7424,2.44395
3847,27.6577,2.27967
5526,25.5522,3.02383
118,29.5264,2.33438
1477,31.1807,2.33217
4639,24.1818,3.20895
6488,24.2131,4.75595
5427,23.6138,3.20045
3335,25.562,3.27191
2881,22.5498,3.31892
2587,29.3193,3.11302
2582,21.5939,4.24512
3510,23.8641,3.62571
3741,22.2409,4.78164
5417,24.9891,2.58698
3481,23.9041,2.98662
231,26.1484,2.60305
4328,24.2826,4.46113
6377,26.0508,2.96373
3735,24.1593,2.43881
1255,29.4634,2.86314
3028,21.2568,4.85435
4403,26.8799,3.3454
4179,26.0966,4.78767
2183,25.7274,3.60883
3728,24.3304,4.6546
2583,26.3098,4.6979
5986,25.613,3.1625
6111,22.8161,4.77891
6562,27.4257,5.05196
5070,21.6688,4.58378
457,26.0941,3.15767
6682,23.3688,3.40871
6647,24.342,3.28284
5908,25.3765,2.95008
3753,23.1697,3.74309
1023,26.067,2.46883
503,28.4645,1.95018
4737,23.8873,2.92348
5577,27.7771,2.86865
5053,29.8356,2.44587
1481,27.7967,2.16337
4395,26.0148,2.3977
